corruption_type,severity,R@1,R@5,R@10,R@50
clean,0,46.68482971191406,66.25794982910156,73.2515869140625,86.64849853515625
blur,1,45.958221435546875,65.25885772705078,72.29791259765625,85.78565216064453
blur,2,42.007266998291016,60.990013122558594,69.02816009521484,82.197998046875
blur,3,39.191646575927734,58.356040954589844,65.94005584716797,80.3814697265625
blur,4,38.28337860107422,57.22071075439453,64.07810974121094,79.65486145019531
blur,5,35.51316833496094,54.132606506347656,62.17075729370117,78.01998138427734
gaussian_noise,1,43.46049118041992,65.12261962890625,72.66121673583984,85.60399627685547
gaussian_noise,2,41.46230697631836,61.625797271728516,69.52770233154297,83.74205017089844
gaussian_noise,3,39.4641227722168,59.62760925292969,67.802001953125,82.4704818725586
gaussian_noise,4,37.148048400878906,57.81108093261719,65.53133392333984,81.33515167236328
gaussian_noise,5,35.60399627685547,56.675750732421875,63.71480178833008,80.15440368652344
jpeg_compression,1,45.73115539550781,66.3941879272461,73.5694808959961,86.60308837890625
jpeg_compression,2,43.823795318603516,63.53314971923828,70.84468841552734,84.92279815673828
jpeg_compression,3,44.77747344970703,65.53133392333984,72.61579895019531,85.51316833496094
jpeg_compression,4,44.36875534057617,64.75930786132812,72.97911071777344,85.28610229492188
jpeg_compression,5,30.06357765197754,49.77293395996094,57.72025680541992,74.6594009399414
brightness_contrast,1,43.91462326049805,65.94005584716797,73.79654693603516,86.23978424072266
brightness_contrast,2,45.458675384521484,66.75749206542969,74.15985107421875,86.78473663330078
brightness_contrast,3,44.82289123535156,65.30426788330078,72.66121673583984,86.60308837890625
brightness_contrast,4,44.5049934387207,64.80471801757812,72.11625671386719,86.0127182006836
brightness_contrast,5,42.552223205566406,63.306087493896484,70.66303253173828,84.74114227294922
random_occlusion,1,45.82197952270508,65.7583999633789,72.57038879394531,86.37602233886719
random_occlusion,2,45.958221435546875,65.62216186523438,72.57038879394531,86.46685028076172
random_occlusion,3,45.867393493652344,65.57675170898438,72.29791259765625,86.33061218261719
random_occlusion,4,45.504085540771484,65.12261962890625,72.97911071777344,86.42143249511719
random_occlusion,5,44.36875534057617,64.30517578125,72.47956085205078,85.87648010253906
synonym,1,45.27701950073242,65.66757202148438,72.7974624633789,86.33061218261719
synonym,2,43.59672927856445,64.75930786132812,71.0717544555664,84.87738037109375
synonym,3,42.18891906738281,62.89736557006836,70.16349029541016,84.10536193847656
synonym,4,41.28065490722656,62.125343322753906,69.3460464477539,83.78746795654297
synonym,5,40.599456787109375,61.35331344604492,68.61943817138672,83.83287811279297
paraphrase,1,44.187103271484375,64.35059356689453,72.02542877197266,85.51316833496094
paraphrase,2,45.504085540771484,65.84922790527344,72.93370056152344,86.28519439697266
paraphrase,3,46.18528366088867,66.0762939453125,73.2515869140625,86.64849853515625
paraphrase,4,46.18528366088867,66.0762939453125,73.2515869140625,86.64849853515625
paraphrase,5,46.18528366088867,66.0762939453125,73.2515869140625,86.64849853515625
typo,1,42.05268096923828,63.35150146484375,72.02542877197266,84.69573211669922
typo,2,39.50953674316406,59.58219909667969,67.847412109375,82.37965393066406
typo,3,34.33242416381836,55.76748275756836,63.26067352294922,78.83741760253906
typo,4,30.744775772094727,50.68119812011719,58.81017303466797,76.20345306396484
typo,5,27.066303253173828,46.32152557373047,54.995460510253906,73.70571899414062
word_deletion,1,40.099910736083984,60.672115325927734,68.34696197509766,83.19709014892578
word_deletion,2,34.55949020385742,54.904632568359375,62.76112747192383,78.2016372680664
word_deletion,3,29.972753524780273,49.22797393798828,57.22071075439453,73.11534881591797
word_deletion,4,26.7029972076416,43.59672927856445,51.7711181640625,68.52861022949219
word_deletion,5,22.752042770385742,39.69118881225586,47.41144561767578,64.71389770507812
color_swap,1,18.301544189453125,34.1053581237793,41.416893005371094,60.990013122558594
color_swap,2,18.301544189453125,34.1053581237793,41.416893005371094,60.990013122558594
color_swap,3,18.301544189453125,34.1053581237793,41.416893005371094,60.990013122558594
color_swap,4,18.301544189453125,34.1053581237793,41.416893005371094,60.990013122558594
color_swap,5,18.301544189453125,34.1053581237793,41.416893005371094,60.990013122558594
object_swap,1,30.426883697509766,50.454132080078125,58.991825103759766,74.79563903808594
object_swap,2,30.426883697509766,50.454132080078125,58.991825103759766,74.79563903808594
object_swap,3,30.426883697509766,50.454132080078125,58.991825103759766,74.79563903808594
object_swap,4,30.426883697509766,50.454132080078125,58.991825103759766,74.79563903808594
object_swap,5,30.426883697509766,50.454132080078125,58.991825103759766,74.79563903808594
wrong_text,1,2.5885558128356934,8.03814697265625,11.21707534790039,21.61671257019043
wrong_text,2,2.5885558128356934,8.03814697265625,11.21707534790039,21.61671257019043
wrong_text,3,2.5885558128356934,8.03814697265625,11.21707534790039,21.61671257019043
wrong_text,4,2.5885558128356934,8.03814697265625,11.21707534790039,21.61671257019043
wrong_text,5,2.5885558128356934,8.03814697265625,11.21707534790039,21.61671257019043
wrong_image,1,30.4722957611084,48.31970977783203,56.08537673950195,72.97911071777344
wrong_image,2,30.4722957611084,48.31970977783203,56.08537673950195,72.97911071777344
wrong_image,3,30.4722957611084,48.31970977783203,56.08537673950195,72.97911071777344
wrong_image,4,30.4722957611084,48.31970977783203,56.08537673950195,72.97911071777344
wrong_image,5,30.4722957611084,48.31970977783203,56.08537673950195,72.97911071777344
noisy_text,1,42.05268096923828,63.35150146484375,72.02542877197266,84.69573211669922
noisy_text,2,39.50953674316406,59.58219909667969,67.847412109375,82.37965393066406
noisy_text,3,34.33242416381836,55.76748275756836,63.26067352294922,78.83741760253906
noisy_text,4,30.744775772094727,50.68119812011719,58.81017303466797,76.20345306396484
noisy_text,5,27.066303253173828,46.32152557373047,54.995460510253906,73.70571899414062
