group,corruption_type,mean_R@1,worst_R@1,mean_R@1_drop,worst_R@1_severity,worst_R@1_drop,mean_R@5,worst_R@5,mean_R@5_drop,worst_R@5_severity,worst_R@5_drop,mean_R@10,worst_R@10,mean_R@10_drop,worst_R@10_severity,worst_R@10_drop,mean_R@50,worst_R@50,mean_R@50_drop,worst_R@50_severity,worst_R@50_drop
conflict,wrong_text,2.5885558128356934,2.5885558128356934,44.09627389907837,1,44.09627389907837,8.03814697265625,8.03814697265625,58.21980285644531,1,58.21980285644531,11.21707534790039,11.21707534790039,62.03451156616211,1,62.03451156616211,21.61671257019043,21.61671257019043,65.03178596496582,1,65.03178596496582
conflict,wrong_image,30.4722957611084,30.4722957611084,16.212533950805664,1,16.212533950805664,48.31970977783203,48.31970977783203,17.93824005126953,1,17.93824005126953,56.08537673950195,56.08537673950195,17.166210174560547,1,17.166210174560547,72.97911071777344,72.97911071777344,13.669387817382812,1,13.669387817382812
conflict,noisy_text,34.74114418029785,27.066303253173828,11.943685531616211,5,19.618526458740234,55.14078140258789,46.32152557373047,11.117168426513672,5,19.936424255371094,63.38782958984375,54.99546051025391,9.86375732421875,5,18.256126403808587,79.16439514160156,73.70571899414062,7.484103393554688,5,12.942779541015625
image,gaussian_noise,39.42779312133789,35.60399627685547,7.257036590576172,5,11.080833435058594,60.1725715637207,56.67575073242188,6.085378265380856,5,9.58219909667968,67.84741134643555,63.71480178833008,5.404175567626953,5,9.536785125732422,82.66121673583984,80.15440368652344,3.9872817993164062,5,6.4940948486328125
image,blur,40.19073638916016,35.51316833496094,6.494093322753907,5,11.171661376953125,59.191645812988284,54.132606506347656,7.066304016113283,5,12.125343322753906,66.70299911499023,62.17075729370117,6.548587799072266,5,11.080829620361328,81.20799255371094,78.01998138427734,5.4405059814453125,5,8.628517150878906
image,jpeg_compression,41.75295143127441,30.06357765197754,4.931878280639647,5,16.621252059936523,61.998182678222655,49.77293395996094,4.259767150878906,5,16.485015869140625,69.54586715698242,57.72025680541992,3.705719757080078,5,15.531330108642578,83.39691162109375,74.6594009399414,3.2515869140625,5,11.989097595214844
image,brightness_contrast,44.25068130493164,42.552223205566406,2.4341484069824206,5,4.132606506347656,65.2225242614746,63.30608749389648,1.0354255676269546,5,2.9518623352050852,72.67938079833985,70.66303253173828,0.5722061157226562,5,2.5885543823242188,86.0762939453125,84.74114227294922,0.57220458984375,5,1.9073562622070312
image,random_occlusion,45.50408706665039,44.36875534057617,1.1807426452636705,5,2.3160743713378906,65.27702178955079,64.30517578125,0.9809280395507812,5,1.9527740478515625,72.57947235107422,72.29791259765625,0.6721145629882812,3,0.95367431640625,86.29427947998047,85.87648010253906,0.35421905517578123,5,0.7720184326171875
text,color_swap,18.301544189453125,18.301544189453125,28.383285522460938,1,28.383285522460938,34.1053581237793,34.1053581237793,32.152591705322266,1,32.152591705322266,41.41689300537109,41.41689300537109,31.834693908691413,1,31.834693908691413,60.990013122558594,60.990013122558594,25.658485412597656,1,25.658485412597656
text,object_swap,30.426883697509773,30.42688369750977,16.257946014404293,1,16.257946014404293,50.454132080078125,50.454132080078125,15.803817749023438,1,15.803817749023438,58.991825103759766,58.991825103759766,14.259761810302734,1,14.259761810302734,74.79563903808594,74.79563903808594,11.852859497070312,1,11.852859497070312
text,word_deletion,30.817438888549805,22.752042770385746,15.867390823364257,5,23.932786941528317,49.61852798461914,39.69118881225586,16.63942184448242,5,26.566761016845703,57.50227279663086,47.41144561767578,15.749314117431641,5,25.84014129638672,73.55131683349609,64.71389770507812,13.097181701660157,5,21.934600830078125
text,typo,34.74114418029785,27.066303253173828,11.943685531616211,5,19.618526458740234,55.14078140258789,46.32152557373047,11.117168426513672,5,19.936424255371094,63.38782958984375,54.99546051025391,9.86375732421875,5,18.256126403808587,79.16439514160156,73.70571899414062,7.484103393554688,5,12.942779541015625
text,synonym,42.588555908203126,40.599456787109375,4.096273803710938,5,6.0853729248046875,63.36058044433594,61.35331344604492,2.8973693847656237,5,4.904636383056641,70.39963836669922,68.61943817138672,2.851948547363281,5,4.632148742675781,84.58674011230468,83.78746795654297,2.0617584228515624,4,2.8610305786132812
text,paraphrase,45.649407958984376,44.187103271484375,1.035421752929686,1,2.4977264404296875,65.6857406616211,64.35059356689453,0.5722091674804688,1,1.9073562622070312,72.94277801513672,72.02542877197266,0.30880889892578123,1,1.2261581420898438,86.34877166748046,85.51316833496094,0.29972686767578127,1,1.1353302001953125
